CODE LAT LON
BIKF N635905 W0223620
CYUL N452805 W0734429
CYYZ N434037 W0793748
DAAG N364136 E0031252
DTTA N365103 E0101337
EBAW N511120 E0042737
EBBR N505403 E0042904
EBLG N503810 E0052632
EBOS N511154 E0025144
EDDB N522143 E0133002
EDDF N500159 E0083414
EDDH N533748 E0095916
EDDK N505157 E0070834
EDDL N511651 E0064526
EDDM N482114 E0114710
EDDN N492954 E0110439
EDDP N512526 E0121409
EDDS N484122 E0091319
EDDT N523334 E0131716
EDDV N522737 E0094100
EETN N592448 E0244955
EFHK N601902 E0245747
EGAA N543926 W0061255
EGBB N522714 W0014453
EGCC N532114 W0021628
EGFF N512348 W0032035
EGGD N512257 W0024309
EGGP N532000 W0025059
EGGW N515229 W0002204
EGHI N505701 W0012124
EGKK N510853 W0001123
EGLL N512838 W0002741
EGMC N513413 E0004136
EGNM N535157 W0013937
EGNT N550215 W0014123
EGNX N524952 W0011938
EGPH N555700 W0032221
EGPK N553034 W0043538
EGSS N515305 E0001406
EHAM N521827 E0044551
EHEH N512700 E0052226
EHRD N515725 E0042612
EIDW N532515 W0061610
EKBI N554424 E0090906
EKCH N553705 E0123921
ELLX N493724 E0061214
ENBR N601737 E0051305
ENGM N601210 E0110502
EPKK N500440 E0194705
EPKT N502827 E0190447
EPWA N520956 E0205800
ESGG N573934 E0121727
ESKN N584718 E0165413
ESSA N593907 E0175507
ETNL N535507 E0121642
EVRA N565523 E0235814
EYVI N543813 E0251716
GCFV N282709 W0135150
GCLP N275555 W0152312
GCRR N285643 W0133618
GCXO N282856 W0162028
GMFF N335537 W0045840
GMMN N332151 W0073452
GMMX N313631 W0080227
GMTT N354354 W0055516
HECA N300641 E0312448
HTDA S065232 E0391211
KATL N333759 W0842600
KCLT N351300 W0805700
KEWR N404146 W0741006
KIAD N385640 W0772723
KJFK N403824 W0734642
KMIA N254800 W0801658
KPHL N395211 W0751442
KUGN N422518 W0875204
LBSF N424140 E0232428
LCLK N345243 E0333748
LDDU N423339 E0181605
LDSP N433218 E0161753
LDZA N454435 E0160408
LEAL N381656 W0003329
LEAM N365038 W0022212
LEAS N433347 W0060205
LEBB N431802 W0025436
LEBL N411748 E0020442
LEBZ N385329 W0064915
LECO N431807 W0082238
LEGE N415402 E0024536
LEGR N371117 W0034636
LEIB N385221 E0012223
LEJR N364441 W0060334
LELN N423519 W0053922
LEMD N402819 W0033337
LEMG N364028 W0042955
LEMH N395145 E0041307
LEPA N393304 E0024420
LESO N432122 W0014724
LEST N425345 W0082455
LEVC N392922 W0002854
LEVD N414222 W0045105
LEVX N421345 W0083739
LEXJ N432537 W0034910
LEZL N372503 W0055354
LFBD N444943 W0004253
LFBT N431106 W0000010
LFCK N433316 E0021725
LFLL N454332 E0050451
LFMD N433245 E0065715
LFML N432610 E0051252
LFMN N433953 E0071252
LFOB N492716 E0020646
LFPG N490035 E0023250
LFPO N484324 E0022246
LFQQ N503346 E0030513
LFRN N480419 W0014356
LFRS N470923 W0013628
LFSB N473524 E0073145
LFST N483229 E0073802
LGAV N375610 E0235640
LGIR N352022 E0251049
LGKR N393607 E0195442
LGMK N372612 E0252048
LGSR N362356 E0252843
LGTS N403110 E0225813
LHBP N472620 E0191543
LIBD N410816 E0164554
LICJ N381053 E0130558
LIEE N391449 E0090321
LIEO N405354 E0093104
LIMC N453748 E0084323
LIME N454007 E0094159
LIMF N451209 E0073856
LIML N452656 E0091642
LIPE N443151 E0111748
LIPH N453902 E0121152
LIPX N452345 E0105316
LIPZ N453018 E0122105
LIRF N414759 E0121420
LIRN N405302 E0141727
LIRP N434056 E0102342
LIRQ N434829 E0111208
LKPR N500603 E0141535
LLBG N320034 E0345307
LMML N355127 E0142839
LOWW N480637 E0163409
LPPR N411408 W0084039
LPPT N384626 W0090801
LRCL N464719 E0234132
LROP N443416 E0260504
LSGG N461418 E0060632
LSZG N471053 E0072459
LSZH N472729 E0083252
LTBA N405834 E0284851
LTFJ N405354 E0291832
LUKK N465538 E0285551
LWSK N415741 E0213717
LYBE N444910 E0201824
LYTV N422415 E0184322
OLBA N334909 E0352924
OMAA N242600 E0543859
OMDB N251457 E0552135
OTHH N251628 E0513630
SAEZ S344920 W0583207
SBGR S232600 W0462811
SKBO N044200 W0740900
UKBB N502041 E0305336
UKKK N502407 E0302705
ULLI N594759 E0301543
URKK N450203 E0391010
UUDD N552429 E0375421
UUEE N555821 E0372445
UWKD N553624 E0491648
WSSS N012133 E1035920
ABCD N010000 E0020000
